vendor_sku,vendor_product,bzbs_product,bzbs_sku,probability
1101155228,วิกซอล โกลด์ 900 (2+1),วิกซอล โกลด์ นำยาล้างห้องน้ำและสุขภัณฑ์ 900 มล สีทอง ซื้อ 2 แถม 1 คุ้มสุด!,1-GDS-VIXOL-000000014,0.5
1102043121,วิกซอล ออกซี่ มิ้นท์ 700 มล. 35,วิกซอล ออกซี่ ผลิตภัณฑ์ล้างห้องน้ำและสุขภัณฑ์ กลิ่นสปริง เฟรช ขนาด 700 มล. สีเขียว แพ็ค 3,1-GDS-VIXOL-000000025,0.3
1201033318,วิช-ถูพื้น ทรีดี ชมพู 650 ซอง,วิซ 3D ผลิตภัณฑ์ทำความสะอาดพื้นสูตรเข้มข้น กลิ่น เลิฟลี่ บลูม(ชมพู) 650 - 800 มล.,1-GDS-WHIZ0-000000004,0.4
1201053312,วิช-ถูพื้น ทรีดี ฟ้า 650 ซอง,วิซ 3D ผลิตภัณฑ์ทำความสะอาดพื้นสูตรเข้มข้น กลิ่น ซันคิส บลูมมิ่ง(ฟ้า) 650 - 800 มล.,1-GDS-WHIZ0-000000005,0.4
1201133155,วิช-ถูพื้น เนเจอร์ ชมพู 5200,"วิซ ผลิตภัณฑ์ทำความสะอาดพื้นสูตรเข้มข้น กลิ่นซันไรซ์ คิส (สีชมพู) 5,200 มล.",1-GDS-WHIZ0-000000016,0.6
1301033361,ไฮยีน-บลีช ชมพู 1500,ไฮยีน ผลิตภัณฑ์ขจัดคราบสำหรับผ้าขาว สีชมพู 1500 มล.,1-GDS-HYGIE-000000002,0.6
1302043299,ไฮยีน-บลิชผ้าสี 1000,ไฮยีน เอ็กซ์เพิร์ท วอช ผลิตภัณฑ์ซักผ้าชนิดน้ำ ป้องกันสีผ้าตกใส่ กลิ่นบูเก้ เฟรช ขนาด1300มล,1-GDS-HYGIE-000000286,0.3
1303053559,ไฮยีน ปากกาขจัดคราบ ฟ้า 10,ไฮยีน ปากกาขจัดคราบ 10 มล.,1-GDS-HYGIE-000000300,0.7
1307023536,ไฮยีน ซักค้า ฟอร์เอเวอร์ บลูม 1400,ไฮยีน เอ็กซ์เพิร์ท วอช ผลิตภัณฑ์ซักผ้าชนิดน้ำ กลิ่นฟอร์เอเวอร์ บลูม 1400มล.,1-GDS-HYGIE-000000183,0.6
1307033724,ไฮยีนซักผ้า เลิฟลี่ 2800,ไฮยีน เอ็กซ์เพิร์ท วอช ผลิตภัณฑ์ซักผ้าชนิดน้ำ กลิ่นเลิฟลี่ บลูม (สีชมพู) 2800 มล.,1-GDS-HYGIE-000000089,0.6
1307034472,ไฮยีนซักค้า เลิฟลี่ 600 แพ็คคู่,ไฮยีน เอ็กซ์เพิร์ท แคร์ ไลฟ์เซ้นท์ กลิ่นเลิฟลี่ บลูม 600 มล.,1-GDS-HYGIE-000000143,0.5
1307054470,ไฮยีนซักค้า ซันคิส 600 แพ็คคู่,ไฮยีน เอ็กซ์เพิร์ท แคร์ ไลฟ์เซ้นท์ กลิ่นซันไรส์ คิส 600 มล.,1-GDS-HYGIE-000000143,0.5
1307134477,ไฮยีนซักต้า เนเจอร์ซันไรส์ 600 แพ็คคู่,ไฮยีน เอ็กซ์เพิร์ท แคร์ ไลฟ์ เนเชอร์ ซันไรส์ คิส 1100- 1150 มล.,1-GDS-HYGIE-000000117,0.4
1307164215,ไฮยีนซักค้า มิราเคิล 600 แพ็คคู่,ไฮยีน เอ็กซ์เพิร์ท แคร์ ไลฟ์เซ้นท์ กลิ่นมิราเคิล บลูม 600 มล.,1-GDS-HYGIE-000000145,0.4
1307223430,ไฮยีนซักผ้า กันสีตก บูเก้ เฟรช 1300,ไฮยีน เอ็กซ์เพิร์ท วอช ผลิตภัณฑ์ซักผ้าชนิดน้ำ ป้องกันสีผ้าตกใส่ กลิ่นบูเก้ เฟรช ขนาด1300มล,1-GDS-HYGIE-000000286,0.3
1315013704,ไฮยีน-ปรับผ้านุ่ม ขาว 2800,ผลิตภัณฑ์ปรับผ้านุ่มสูตรมาตรฐาน ไฮยีน กลิ่นการ์เด้น บลอสซั่ม สีบานเย็น 2800 - 3500 มล.,1-GDS-HYGIE-000000114,0.4
1315023716,ไฮยีน-ปรับผ้านุ่ม แดง 2800,ผลิตภัณฑ์ปรับผ้านุ่มสูตรมาตรฐาน ไฮยีน กลิ่น โอเชี่ยน บลู สีฟ้า 2800 - 3500 มล.,1-GDS-HYGIE-000000112,0.4
1315033715,ไขยืน-ปรับผ้านุ่ม ชมพู 2800,ผลิตภัณฑ์ปรับผ้านุ่มสูตรมาตรฐาน ไฮยีน กลิ่น สวีท อโรมา สีแดง 2800 - 3500 มล.,1-GDS-HYGIE-000000109,0.4
1315053709,ไฮยีน-ปรับผ้านุ่ม ฟ้า 2800,ผลิตภัณฑ์ปรับผ้านุ่มสูตรมาตรฐาน ไฮยีน กลิ่น พิ้งค์ สวีท สีชมพู 2800 - 3500 มล.,1-GDS-HYGIE-000000110,0.4
