vendor_sku,vendor_product,bzbs_product,bzbs_sku,probability
1315133723,ไฮยีน-ปรับผ้านุ่ม บานเย็น 2800,ผลิตภัณฑ์ปรับผ้านุ่มสูตรมาตรฐาน ไฮยีน กลิ่นการ์เด้น บลอสซั่ม สีบานเย็น 2800 - 3500 มล.,1-GDS-HYGIE-000000114,0.4
1316013899,ไฮยีนปรับเข้มข้น มิลค์กี้ขาว 1100,ไฮยีน เอ็กซ์เพิร์ท แคร์ มิลค์กี้ ทัช 1100-1300 มล.,1-GDS-HYGIE-000000120,0.47
1316013931,ไฮยีนปรับเข้มข้น มิลค์กี้ขาว 2000,ไฮยีน เอ็กซ์เพิร์ท แคร์ น้ำยาปรับผ้านุ่มสูตรเข้มข้นพิเศษ กลิ่นมิลค์กี้ ทัช (สีขาว) 2000 - 2200มล.,1-GDS-HYGIE-000000039,0.5
1316013955,ไฮยีนปรับเข้มข้น มิลค์กี้ขาว 3300,"ไฮยีน เอ็กซ์เพิร์ท แคร์ น้ำยาปรับผ้านุ่มสูตรเข้มข้นพิเศษ กลิ่นมิลค์กี้ ทัช (สีขาว) 3,300 - 3500มล.",1-GDS-HYGIE-000000029,0.5
1316014924,ไฮยีนปรับเข้มข้น มิลค์กี้ขาว 1100 แพ็คค,ไฮยีน เอ็กซ์เพิร์ท แคร์ มิลค์กี้ ทัช 1100-1300 มล.,1-GDS-HYGIE-000000120,0.47
1316063904,ไฮยีนปรับเข้มข้น แฮปปี้ส้ม 1100,"ไฮยีน เอ็กซ์เพิร์ท แคร์ น้ำยาปรับผ้านุ่มสูตรเข้มข้นพิเศษ กลิ่นแฮปปี้ ซันชายน์(สีส้ม) 1,100 - 1150 มล.",1-GDS-HYGIE-000000046,0.47
1316063937,ไฮยีนปรับเข้มข้น แฮปปี้ส้ม 2200,ไฮยีน เอ็กซ์เพิร์ท แคร์ น้ำยาปรับผ้านุ่มสูตรเข้มข้นพิเศษ กลิ่นแฮปปี้ ซันชายน์(สีส้ม) 2200มล.,1-GDS-HYGIE-000000047,0.5
1316063950,ไฮยีนปรับเข้มข้น แฮปปี้สลิ่ม 3300,ไฮยีน เอ็กซ์เพิร์ท แคร์ น้ำยาปรับผ้านุ่มสูตรเข้มข้นพิเศษ กลิ่นแฮปปี้ ซันชายน์(สีส้ม) 3300 มล.,1-GDS-HYGIE-000000048,0.5
1316133907,ไฮยีนปรับเข้มข้น บลูมมมิ่งชมพู 1100,ไฮยีน เอ็กซ์เพิร์ท แคร์ ไลฟ์เซ้นท์ น้ำยาปรับผ้านุ่มสูตรเข้มข้นพิเศษ กลิ่นบลูมมิ่ง(สีชมพู) 1100 มล.,1-GDS-HYGIE-000000058,0.47
1317033902,ไฮยีนปรับเข้มข้น ไลฟี่ เลิฟลี่ชมพู 1100,ไฮยีน เอ็กซ์เพิร์ท แคร์ ไลฟ์เซ้นท์ น้ำยาปรับผ้านุ่มสูตรเข้มข้นพิเศษ กลิ่นเลิฟลี่ บลูม(ชมพู) 1100 มล.,1-GDS-HYGIE-000000058,0.47
